date,ville,température,conditions
2025-02-17,Whitefort,9.1,nuageux
2025-02-23,Shermanfurt,16.3,orage
2025-01-04,West Isabellaland,-1.5,orage
2025-02-28,Woodsberg,22.0,ensoleillé
2025-01-27,North Melanie,3.5,nuageux
2025-01-02,Lake Andreville,-4.3,nuageux
2025-01-11,Josephland,9.0,orage
2025-01-24,North Stuartshire,24.5,neige
2025-02-01,East Royfurt,15.0,neige
2025-01-03,West Nicholasberg,32.2,neige
2025-02-19,Michaelbury,28.1,orage
2025-01-24,New Thomas,35.4,pluie
2025-01-20,Robertsside,-2.5,pluie
2025-02-20,East Kevin,29.0,neige
2025-01-08,West Elizabeth,9.6,neige
2025-03-01,Port Johnview,9.1,neige
2025-02-05,Wilsonville,30.2,pluie
2025-02-21,West Ryanland,19.9,nuageux
2025-01-06,South Kristinaton,17.7,nuageux
2025-01-21,Walkermouth,16.4,nuageux
2025-01-29,Russoborough,30.5,neige
2025-01-07,West Cindy,0.6,nuageux
2025-02-10,West Gabrielburgh,28.3,neige
2025-02-16,New Adam,0.9,pluie
2025-01-17,Stacymouth,15.6,orage
2025-01-02,New Douglasbury,29.0,nuageux
2025-02-14,Brucefort,13.1,neige
2025-03-04,East Nicolasbury,12.9,ensoleillé
2025-01-12,East Denise,26.4,ensoleillé
2025-01-13,Stewartmouth,9.7,orage
2025-02-12,Scottton,30.7,neige
2025-02-04,West Susantown,-1.3,pluie
2025-01-01,Port Austinland,5.5,ensoleillé
2025-03-02,North Monicaburgh,15.8,pluie
2025-01-07,Yolandaburgh,6.2,nuageux
2025-02-13,South Patrick,27.1,pluie
2025-02-27,West Michael,33.0,nuageux
2025-01-26,North Jennifer,19.8,nuageux
2025-01-04,North Angelachester,24.9,pluie
2025-01-04,Emilyside,20.8,orage
2025-02-16,Huntport,8.6,orage
2025-02-28,Montoyabury,5.7,ensoleillé
2025-01-28,Davismouth,33.7,orage
2025-02-27,South Breannaburgh,16.3,neige
2025-01-20,East David,16.8,pluie
2025-02-18,Larsenville,24.4,pluie
2025-02-22,West Jeremyburgh,34.2,pluie
2025-01-06,East Gregory,17.0,orage
2025-02-22,Tiffanyton,7.1,ensoleillé
2025-02-16,North Julieshire,12.2,pluie
2025-02-24,New Timothy,20.3,nuageux
2025-02-06,Emilyfort,-1.8,pluie
2025-01-18,Millsstad,13.5,nuageux
2025-01-25,Lake Kevin,16.5,pluie
2025-01-04,New Patrick,33.3,pluie
2025-02-04,Julieton,24.7,nuageux
2025-02-21,Jarvisport,35.4,pluie
2025-02-26,East Michelle,20.1,nuageux
2025-01-03,South Linda,-4.5,nuageux
2025-02-18,East Juliemouth,18.7,neige
2025-01-13,Gregorybury,11.7,orage
2025-02-04,Alejandroberg,34.0,orage
2025-01-24,West Danielberg,6.9,orage
2025-01-05,West Rebecca,30.8,neige
2025-02-04,Adamview,-5.2,ensoleillé
2025-02-21,New Danielletown,-4.7,orage
2025-02-02,Christopherport,32.4,pluie
2025-01-25,New Patriciahaven,9.5,orage
2025-02-28,North Shawnshire,29.1,nuageux
2025-02-26,Coreybury,27.2,ensoleillé
2025-01-28,Lisaside,21.2,nuageux
2025-02-19,Ramseyberg,4.1,orage
2025-02-24,Brandonport,6.7,nuageux
2025-01-24,Lake Craig,18.0,neige
2025-01-02,West Reginald,0.5,pluie
2025-02-19,West Cynthiaside,1.0,nuageux
2025-01-03,Joshuastad,18.9,neige
2025-02-14,Huffmantown,17.8,ensoleillé
2025-01-17,Richardsonfurt,0.7,ensoleillé
2025-03-02,New Joshuashire,18.7,neige
2025-01-31,New Sarahton,4.5,neige
2025-01-05,Port Roy,23.4,nuageux
2025-02-15,Port Ashley,29.0,ensoleillé
2025-01-31,Millerside,-0.2,ensoleillé
2025-02-10,North Christophermouth,-3.8,pluie
2025-01-12,Nathanielfort,23.8,orage
2025-02-12,West Meganfort,4.9,nuageux
2025-01-04,Monicabury,4.1,orage
2025-02-12,Charlesland,10.9,nuageux
2025-02-14,Zunigaville,14.7,ensoleillé
2025-01-24,West Christopher,25.3,neige
2025-01-25,Bassburgh,17.6,ensoleillé
2025-02-06,Harristown,7.0,pluie
2025-01-06,Port Mary,0.9,neige
2025-01-10,Elizabethfurt,10.8,nuageux
2025-02-11,Briannaville,0.7,neige
2025-01-19,Thomasfurt,15.0,ensoleillé
2025-01-16,Lake Sandyshire,-4.6,neige
2025-02-10,Alexhaven,18.3,orage
2025-01-05,Larsenstad,-0.1,neige
2025-03-02,Youngview,32.1,orage
2025-02-06,Wandamouth,34.3,nuageux
2025-01-13,West Stephanieville,17.3,orage
2025-02-03,Lake Brandonburgh,17.4,nuageux
2025-01-16,Hillton,22.6,nuageux
2025-01-07,Davisfurt,33.6,pluie
2025-01-02,North Catherineside,6.6,neige
2025-01-19,Moorefurt,2.9,pluie
2025-02-22,Parkerfort,14.9,neige
2025-02-08,Lake Nataliehaven,0.8,orage
2025-02-05,Lake Alyssaberg,4.8,ensoleillé
2025-01-11,Mcculloughshire,-0.6,orage
2025-01-28,Karentown,-4.8,orage
2025-02-12,Michelleville,6.3,nuageux
2025-03-02,Stephanieview,26.5,neige
2025-02-13,Steventown,18.5,nuageux
2025-02-28,Robinview,1.2,ensoleillé
2025-01-21,Caitlinshire,25.6,pluie
2025-02-26,New Loretta,14.0,pluie
2025-01-11,Andreaburgh,33.2,nuageux
2025-01-01,West Cynthia,15.5,orage
2025-02-28,Martinezport,7.2,nuageux
2025-01-28,New Jamesfurt,-3.7,pluie
2025-02-21,Johnsonside,27.4,orage
2025-02-20,Gloriaberg,11.6,nuageux
2025-01-06,Kimberlyburgh,24.4,orage
2025-01-01,South Steven,18.3,nuageux
2025-01-16,East Deanton,-3.4,nuageux
2025-01-14,Millerhaven,-4.0,pluie
2025-02-14,Timothyside,2.8,ensoleillé
2025-01-03,West Christian,26.3,neige
2025-02-17,South Ricardo,11.6,nuageux
2025-01-02,Lake Connorfort,-0.1,neige
2025-01-21,Lake Nina,23.6,neige
2025-03-01,Lake Michaelfort,29.1,orage
2025-03-03,Lake Mariaburgh,13.3,nuageux
2025-01-22,East Maryport,15.0,neige
2025-01-04,Barbaratown,14.2,orage
2025-01-10,Ericshire,12.4,ensoleillé
2025-01-29,West Ethan,2.1,pluie
2025-01-04,Lake Wendyfurt,8.5,orage
2025-01-12,Thomasfort,3.8,orage
2025-01-29,North Krystalfurt,27.3,pluie
2025-01-27,Kylehaven,24.4,ensoleillé
2025-01-22,Lake Ianmouth,21.4,nuageux
2025-01-09,East Benjamintown,16.3,nuageux
2025-02-06,Lake Danielle,-2.2,neige
2025-02-23,Michealside,17.8,ensoleillé
2025-02-05,Garciamouth,22.4,neige
2025-01-28,Hollyview,-2.5,nuageux
2025-01-30,East Jamietown,-5.4,pluie
2025-01-20,Rogersville,32.2,ensoleillé
2025-02-01,Port Andrea,11.9,nuageux
2025-01-03,New Erik,17.1,nuageux
2025-02-24,Port Frankview,25.6,ensoleillé
2025-02-06,Calvinton,12.3,neige
2025-02-14,Catherinebury,34.5,nuageux
2025-03-04,South Kenneth,22.7,orage
2025-02-09,Port Michael,13.0,ensoleillé
2025-02-16,Coxchester,9.6,nuageux
2025-02-05,Johnsonstad,-5.2,ensoleillé
2025-03-04,Brianside,15.5,ensoleillé
2025-02-16,Jesusport,0.4,nuageux
2025-01-05,Lake Angelaview,18.7,neige
2025-02-17,Melissafurt,31.9,neige
2025-02-19,Wyatttown,3.3,pluie
2025-01-08,Williamton,19.1,neige
2025-02-28,East Ronaldbury,3.3,ensoleillé
2025-01-18,West Heidiville,3.7,nuageux
2025-01-22,North Marciastad,-1.8,nuageux
2025-01-19,Danielville,14.4,pluie
2025-03-02,Mooremouth,32.0,orage
2025-02-20,Clinehaven,14.7,nuageux
2025-01-04,South Jason,10.1,nuageux
2025-02-10,West Brandiburgh,14.8,pluie
2025-01-03,West Katherine,3.3,orage
2025-01-20,Joshuaton,35.1,neige
2025-02-09,West Charlotte,20.6,orage
2025-02-28,Bentleyfort,23.5,ensoleillé
2025-02-10,Turnerstad,-1.0,nuageux
2025-03-01,Huffchester,11.5,nuageux
2025-02-24,North Elizabeth,24.5,orage
2025-03-03,Martinezhaven,25.9,neige
2025-02-02,Baileyborough,30.6,pluie
2025-02-12,Johnsonborough,8.2,orage
2025-02-22,Port Susanville,10.4,ensoleillé
2025-01-01,Ryanview,16.4,neige
